20130507| Q 2 | obs 17 from 16.388--24.046 | MD 0.479 
20130611| Q 4 | obs 19 from 16.776--25.743 | MD 0.498 
20130612| Q 5 | obs 17 from 17.788--25.738 | MD 0.497 
20130613| Q 5 | obs 21 from 15.966--25.740 | MD 0.489 
20130614| Q 5 | obs 20 from 16.439--25.743 | MD 0.490 
20130615| Q 5 | obs 21 from 15.767--25.739 | MD 0.499 
20130616| Q 4 | obs 21 from 13.808--25.742 | MD 0.597 
20130617| Q 4 | obs 23 from 14.911--25.744 | MD 0.492 
20130618| Q 5 | obs 25 from 13.759--25.738 | MD 0.499 
20130619| Q 3 | obs 25 from 13.762--25.741 | MD 0.499 
20130620| Q 2 | obs 25 from 13.765--25.744 | MD 0.499 
20130621| Q 5 | obs 25 from 13.768--25.738 | MD 0.499 
20130622| Q 2 | obs 24 from 13.774--25.742 | MD 0.520 
20130623| Q 5 | obs 17 from 17.770--25.745 | MD 0.498 
20130624| Q 1 | obs 23 from 13.885--25.718 | MD 0.538 
20130806| Q 5 | obs 15 from 18.782--25.740 | MD 0.497 
20130807| Q 4 | obs 20 from 16.260--25.743 | MD 0.499 
20130808| Q 3 | obs 25 from 13.767--25.738 | MD 0.499 
20130809| Q 5 | obs 20 from 16.340--25.740 | MD 0.495 
20130810| Q 3 | obs 20 from 16.393--25.743 | MD 0.492 
20130811| Q 5 | obs 25 from 13.767--25.737 | MD 0.499 
20130812| Q 4 | obs 22 from 15.373--25.740 | MD 0.494 
20130813| Q 3 | obs 23 from 14.913--25.742 | MD 0.492 
20130814| Q 5 | obs 22 from 15.454--25.745 | MD 0.490 
20130815| Q 5 | obs 25 from 13.760--25.739 | MD 0.499 
20130816| Q 5 | obs 25 from 13.763--25.742 | MD 0.499 
20130817| Q 4 | obs 25 from 13.766--25.745 | MD 0.499 
20130818| Q 4 | obs 25 from 13.760--25.739 | MD 0.499 
20130819| Q 4 | obs 25 from 13.763--25.742 | MD 0.499 
20130820| Q 5 | obs 25 from 13.765--25.744 | MD 0.499 
20130821| Q 3 | obs 25 from 13.760--25.739 | MD 0.499 
20130822| Q 3 | obs 25 from 13.762--25.742 | MD 0.499 
20130823| Q 5 | obs 25 from 13.765--25.744 | MD 0.499 
20130824| Q 5 | obs 25 from 13.759--25.742 | MD 0.499 
20130825| Q 3 | obs 25 from 13.766--25.745 | MD 0.499 
20130826| Q 2 | obs 25 from 13.760--25.739 | MD 0.499 
20130827| Q 5 | obs 25 from 13.763--25.742 | MD 0.499 
20130828| Q 4 | obs 25 from 13.766--25.745 | MD 0.499 
20130829| Q 5 | obs 25 from 13.760--25.739 | MD 0.499 
20130830| Q 4 | obs 25 from 13.763--25.742 | MD 0.499 
20130831| Q 5 | obs 25 from 13.765--25.744 | MD 0.499 
20130901| Q 2 | obs 25 from 13.760--25.739 | MD 0.499 
20130902| Q 4 | obs 25 from 13.762--25.741 | MD 0.499 
20130903| Q 3 | obs 25 from 13.765--25.744 | MD 0.499 
20130904| Q 5 | obs 25 from 13.768--25.738 | MD 0.499 
20130905| Q 3 | obs 25 from 13.762--25.741 | MD 0.499 
20130906| Q 3 | obs 25 from 13.765--25.744 | MD 0.499 
20130907| Q 2 | obs 25 from 13.767--25.741 | MD 0.499 
20130908| Q 5 | obs 25 from 13.765--25.744 | MD 0.499 
20130909| Q 5 | obs 25 from 13.767--25.738 | MD 0.499 
20130910| Q 5 | obs 20 from 13.762--25.741 | MD 0.630 
20130911| Q 5 | obs 23 from 13.764--25.743 | MD 0.545 
20130912| Q 4 | obs 25 from 13.767--25.738 | MD 0.499 
20130913| Q 3 | obs 25 from 13.761--25.740 | MD 0.499 
20130914| Q 4 | obs 25 from 13.764--25.745 | MD 0.499 
20130915| Q 4 | obs 25 from 13.760--25.739 | MD 0.499 
20130916| Q 4 | obs 25 from 13.762--25.742 | MD 0.499 
20130917| Q 5 | obs 22 from 13.765--25.744 | MD 0.570 
20130918| Q 5 | obs 19 from 16.834--25.738 | MD 0.495 
20130919| Q 5 | obs 23 from 13.762--25.741 | MD 0.545 
20130920| Q 5 | obs 5 from 23.250--25.073 | MD 0.456 
20130921| Q 5 | obs 19 from 14.250--25.738 | MD 0.638 
20130922| Q 2 | obs 25 from 13.762--25.741 | MD 0.499 
20130923| Q 1 | obs 25 from 13.764--25.743 | MD 0.499 
20130924| Q 3 | obs 25 from 13.767--25.738 | MD 0.499 
20130925| Q 4 | obs 25 from 13.762--25.741 | MD 0.499 
20130926| Q 2 | obs 22 from 14.265--24.745 | MD 0.499 
20130927| Q 4 | obs 22 from 14.260--24.739 | MD 0.499 
20130928| Q 3 | obs 22 from 14.262--24.742 | MD 0.499 
20130929| Q 4 | obs 22 from 14.265--24.744 | MD 0.499 
20130930| Q 2 | obs 22 from 14.259--24.738 | MD 0.499 
20131001| Q 4 | obs 22 from 14.262--24.741 | MD 0.499 
20131002| Q 5 | obs 14 from 18.250--24.744 | MD 0.500 
20131003| Q 2 | obs 22 from 14.267--24.742 | MD 0.499 
20131004| Q 3 | obs 22 from 14.266--24.745 | MD 0.499 
20131005| Q 4 | obs 22 from 14.260--24.739 | MD 0.499 
20131006| Q 4 | obs 22 from 14.263--24.742 | MD 0.499 
20131007| Q 5 | obs 22 from 14.266--24.740 | MD 0.499 
20131008| Q 5 | obs 22 from 14.442--24.733 | MD 0.490 
20131009| Q 3 | obs 22 from 14.407--24.736 | MD 0.492 
20131010| Q 3 | obs 22 from 14.262--24.737 | MD 0.499 
20131011| Q 5 | obs 22 from 14.263--24.738 | MD 0.499 
20131012| Q 3 | obs 22 from 14.264--24.739 | MD 0.499 
20131013| Q 3 | obs 16 from 17.324--24.732 | MD 0.494 
20131014| Q 4 | obs 22 from 14.266--24.741 | MD 0.499 
20131015| Q 4 | obs 22 from 14.268--24.734 | MD 0.498 
20131016| Q 2 | obs 22 from 14.260--24.735 | MD 0.499 
20131017| Q 2 | obs 22 from 14.261--24.736 | MD 0.499 
20131018| Q 3 | obs 22 from 14.262--24.737 | MD 0.499 
20131019| Q 2 | obs 22 from 14.263--24.738 | MD 0.499 
20131020| Q 4 | obs 22 from 14.264--24.739 | MD 0.499 
20131021| Q 5 | obs 22 from 14.265--24.740 | MD 0.499 
20131022| Q 5 | obs 22 from 14.266--24.741 | MD 0.499 
20131023| Q 5 | obs 14 from 18.259--24.734 | MD 0.498 
20131024| Q 5 | obs 12 from 19.468--24.735 | MD 0.479 
20131025| Q 5 | obs 14 from 18.250--24.736 | MD 0.499 
20131026| Q 4 | obs 22 from 14.262--24.737 | MD 0.499 
20131027| Q 4 | obs 22 from 14.260--24.735 | MD 0.499 
20131028| Q 2 | obs 21 from 14.750--24.736 | MD 0.499 
20131029| Q 3 | obs 22 from 14.262--24.737 | MD 0.499 
20131030| Q 3 | obs 22 from 14.263--24.738 | MD 0.499 
20131031| Q 1 | obs 22 from 14.264--24.739 | MD 0.499 
20131101| Q 3 | obs 22 from 14.265--24.740 | MD 0.499 
20131102| Q 2 | obs 22 from 14.266--24.741 | MD 0.499 
20131103| Q 4 | obs 16 from 17.298--24.594 | MD 0.486 
20131104| Q 2 | obs 19 from 14.428--24.736 | MD 0.573 
20131105| Q 2 | obs 22 from 14.262--24.738 | MD 0.499 
20131106| Q 5 | obs 22 from 14.264--24.738 | MD 0.499 
20131107| Q 5 | obs 22 from 14.265--24.740 | MD 0.499 
20131108| Q 3 | obs 21 from 14.266--24.236 | MD 0.499 
20131109| Q 4 | obs 20 from 14.762--24.237 | MD 0.499 
20131110| Q 4 | obs 20 from 14.763--24.238 | MD 0.499 
20131111| Q 3 | obs 20 from 14.764--24.239 | MD 0.499 
20131112| Q 3 | obs 20 from 14.765--24.240 | MD 0.499 
20131113| Q 5 | obs 20 from 14.766--24.241 | MD 0.499 
20131114| Q 4 | obs 20 from 14.767--24.242 | MD 0.499 
20131115| Q 2 | obs 19 from 14.964--24.172 | MD 0.512 
20131116| Q 2 | obs 17 from 14.811--23.161 | MD 0.522 
20131117| Q 2 | obs 20 from 14.765--24.240 | MD 0.499 
20131118| Q 5 | obs 20 from 14.766--24.241 | MD 0.499 
20131119| Q 2 | obs 7 from 16.321--21.713 | MD 0.899 
20131120| Q 1 | obs 14 from 15.250--24.114 | MD 0.682 
20131121| Q 4 | obs 20 from 14.761--24.236 | MD 0.499 
20131122| Q 4 | obs 20 from 14.762--24.237 | MD 0.499 
20131123| Q 2 | obs 20 from 14.763--24.238 | MD 0.499 
20131124| Q 1 | obs 20 from 14.764--24.239 | MD 0.499 
20131125| Q 4 | obs 20 from 14.765--24.240 | MD 0.499 
20131126| Q 4 | obs 20 from 14.766--24.241 | MD 0.499 
20131127| Q 3 | obs 20 from 14.767--24.242 | MD 0.499 
20131128| Q 3 | obs 20 from 14.760--24.234 | MD 0.499 
20131129| Q 4 | obs 20 from 14.761--24.238 | MD 0.499 
20131130| Q 3 | obs 20 from 14.764--24.239 | MD 0.499 
20131201| Q 4 | obs 20 from 14.765--24.240 | MD 0.499 
20131202| Q 3 | obs 20 from 14.767--24.241 | MD 0.499 
20131203| Q 3 | obs 20 from 14.768--24.234 | MD 0.498 
20131204| Q 2 | obs 20 from 14.760--24.235 | MD 0.499 
20131205| Q 2 | obs 20 from 14.761--24.236 | MD 0.499 
20131206| Q 4 | obs 20 from 14.762--24.150 | MD 0.494 
20131207| Q 1 | obs 20 from 14.763--24.238 | MD 0.499 
20131208| Q 1 | obs 20 from 14.764--24.239 | MD 0.499 
20131209| Q 5 | obs 20 from 14.765--24.240 | MD 0.499 
20131210| Q 5 | obs 20 from 14.767--24.241 | MD 0.499 
20131211| Q 4 | obs 20 from 14.768--24.234 | MD 0.498 
20131212| Q 2 | obs 20 from 14.760--24.235 | MD 0.499 
20131213| Q 3 | obs 20 from 14.761--24.236 | MD 0.499 
20131214| Q 5 | obs 20 from 14.762--24.237 | MD 0.499 
20131215| Q 5 | obs 20 from 14.763--24.238 | MD 0.499 
20131216| Q 2 | obs 20 from 14.764--24.239 | MD 0.499 
20131217| Q 5 | obs 20 from 14.765--24.240 | MD 0.499 
20131218| Q 4 | obs 20 from 14.766--24.241 | MD 0.499 
20131219| Q 2 | obs 20 from 14.772--24.234 | MD 0.498 
20131220| Q 3 | obs 20 from 14.760--24.235 | MD 0.499 
20131221| Q 3 | obs 18 from 14.869--24.236 | MD 0.551 
20131222| Q 5 | obs 20 from 14.767--24.242 | MD 0.499 
